Sample,GH,1_Z,1_Eg,1_Ip1,1_Ip2,1_Ea,1_Homo,1_Lumo,1_Ros,1_Rop,1_Rod,1_Ra,1_Rv,1_Rc,1_Vl,1_Pc,1_Pc18,1_Pr,1_Uo,1_Plz,1_M,1_Mel,1_Boi,1_de,2_Z,2_Eg,2_Ip1,2_Ip2,2_Ea,2_Homo,2_Lumo,2_Ros,2_Rop,2_Rod,2_Ra,2_Rv,2_Rc,2_Vl,2_Pc,2_Pc18,2_Pr,2_Uo,2_Plz,2_M,2_Mel,2_Boi,2_de,3_Z,3_Eg,3_Ip1,3_Ip2,3_Ea,3_Homo,3_Lumo,3_Ros,3_Rop,3_Rod,3_Ra,3_Rv,3_Rc,3_Vl,3_Pc,3_Pc18,3_Pr,3_Uo,3_Plz,3_M,3_Mel,3_Boi,3_de
Nb_Ge_As,0.47796321,41.0,1.6,652.1,1380.0,-0.8556,-4.6186,-0.7269,1.5752,1.7332,0.7728,1.37,0.7728,1.64,5.0,5.0,5.0,5.0,7.0,106.0,92.90637,2750.0,5017.0,8.57,32.0,2.01,762.0,1537.5,-0.7121,-3.8948,3.4236,0.922,1.1721,0.2666,1.22,1.1721,1.2,14.0,4.0,14.0,4.0,4.0,39.43,72.63,1211.4,3106.0,5.323,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Cr_C_P,1.35832445,24.0,1.66,652.9,1590.6,-0.7587,-4.4654,0.49,1.4266,1.4063,0.4392,1.27,0.4392,1.39,6.0,6.0,6.0,4.0,6.0,78.0,51.9961,2180.0,2944.0,7.19,6.0,2.55,1086.5,2352.6,-0.7107,-5.2854,3.7464,0.6418,0.6367,1.1355,0.77,0.6367,0.76,4.0,4.0,14.0,2.0,4.0,11.26,12.011,3773.15,5100.15,1.8,15.0,2.19,1011.8,1907.0,-1.5964,-5.5066,4.1941,0.8336,0.9712,1.4172,1.06,0.9712,1.07,5.0,5.0,15.0,3.0,3.0,24.93,30.973762,863.15,553.15,1.823
Hf_Si_As,0.69635355,72.0,1.3,658.5,1440.0,0.7772,-2.6937,-0.4781,1.5366,1.7316,0.8951,1.5,0.8951,1.75,18.0,4.0,4.0,6.0,8.0,109.0,178.49,2506.0,4876.0,13.31,14.0,1.9,786.5,1577.1,-0.8063,-4.0809,3.7444,0.9466,1.1405,1.1619,1.11,1.1405,1.11,4.0,4.0,14.0,3.0,4.0,37.31,28.085,1687.0,3538.0,2.329,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Mn_Sn_As,0.56762005,25.0,1.55,717.3,1509.0,-1.019,-4.4043,1.8306,1.3699,1.2646,0.4082,1.39,0.4082,1.39,7.0,7.0,7.0,4.0,5.0,65.0,54.938045,1519.0,2334.0,7.21,50.0,1.96,708.6,1411.8,-0.8358,-3.6934,2.8969,1.066,1.3554,0.4694,1.41,1.3554,1.39,14.0,4.0,14.0,5.0,4.0,56.34,118.71,505.08,2875.0,7.365,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Mo_C_P,1.23923625,42.0,2.16,684.3,1560.0,-1.5561,-4.3183,-0.1345,1.5418,1.6626,0.7271,1.45,0.7271,1.54,6.0,6.0,6.0,5.0,6.0,86.0,95.95,2896.0,4912.0,10.28,6.0,2.55,1086.5,2352.6,-0.7107,-5.2854,3.7464,0.6418,0.6367,1.1355,0.77,0.6367,0.76,4.0,4.0,14.0,2.0,4.0,11.26,12.011,3773.15,5100.15,1.8,15.0,2.19,1011.8,1907.0,-1.5964,-5.5066,4.1941,0.8336,0.9712,1.4172,1.06,0.9712,1.07,5.0,5.0,15.0,3.0,3.0,24.93,30.973762,863.15,553.15,1.823
Mo_Ge_P,0.84307181,42.0,2.16,684.3,1560.0,-1.5561,-4.3183,-0.1345,1.5418,1.6626,0.7271,1.45,0.7271,1.54,6.0,6.0,6.0,5.0,6.0,86.0,95.95,2896.0,4912.0,10.28,32.0,2.01,762.0,1537.5,-0.7121,-3.8948,3.4236,0.922,1.1721,0.2666,1.22,1.1721,1.2,14.0,4.0,14.0,4.0,4.0,39.43,72.63,1211.4,3106.0,5.323,15.0,2.19,1011.8,1907.0,-1.5964,-5.5066,4.1941,0.8336,0.9712,1.4172,1.06,0.9712,1.07,5.0,5.0,15.0,3.0,3.0,24.93,30.973762,863.15,553.15,1.823
Sc_C_As,1.46594838,21.0,1.36,633.1,1235.0,0.8386,-3.2357,-0.1844,1.6506,1.623,0.5809,1.44,0.5809,1.7,3.0,3.0,3.0,4.0,9.0,107.0,44.955908,1814.0,3109.0,2.985,6.0,2.55,1086.5,2352.6,-0.7107,-5.2854,3.7464,0.6418,0.6367,1.1355,0.77,0.6367,0.76,4.0,4.0,14.0,2.0,4.0,11.26,12.011,3773.15,5100.15,1.8,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Tc_Sn_P,0.29807728,43.0,1.9,702.0,1470.0,-1.4006,-3.9595,0.4892,1.5154,1.6015,0.6854,1.56,0.6854,1.47,7.0,7.0,7.0,5.0,5.0,77.0,97.99,2430.0,4538.0,11.0,50.0,1.96,708.6,1411.8,-0.8358,-3.6934,2.8969,1.066,1.3554,0.4694,1.41,1.3554,1.39,14.0,4.0,14.0,5.0,4.0,56.34,118.71,505.08,2875.0,7.365,15.0,2.19,1011.8,1907.0,-1.5964,-5.5066,4.1941,0.8336,0.9712,1.4172,1.06,0.9712,1.07,5.0,5.0,15.0,3.0,3.0,24.93,30.973762,863.15,553.15,1.823
W_Sn_P,0.47016927,74.0,2.36,770.0,1700.0,-0.4374,-4.4864,-0.3665,1.4074,1.6061,0.7906,1.46,0.7906,1.62,20.0,6.0,6.0,6.0,6.0,75.0,183.84,3695.0,5933.0,19.25,50.0,1.96,708.6,1411.8,-0.8358,-3.6934,2.8969,1.066,1.3554,0.4694,1.41,1.3554,1.39,14.0,4.0,14.0,5.0,4.0,56.34,118.71,505.08,2875.0,7.365,15.0,2.19,1011.8,1907.0,-1.5964,-5.5066,4.1941,0.8336,0.9712,1.4172,1.06,0.9712,1.07,5.0,5.0,15.0,3.0,3.0,24.93,30.973762,863.15,553.15,1.823
Cr_Ge_As,0.73129563,24.0,1.66,652.9,1590.6,-0.7587,-4.4654,0.49,1.4266,1.4063,0.4392,1.27,0.4392,1.39,6.0,6.0,6.0,4.0,6.0,78.0,51.9961,2180.0,2944.0,7.19,32.0,2.01,762.0,1537.5,-0.7121,-3.8948,3.4236,0.922,1.1721,0.2666,1.22,1.1721,1.2,14.0,4.0,14.0,4.0,4.0,39.43,72.63,1211.4,3106.0,5.323,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Fe_Ge_As,0.71804792,26.0,1.83,762.5,1561.9,-1.4423,-4.4232,-0.5256,1.3369,1.7071,0.3822,1.25,0.3822,1.32,8.0,8.0,8.0,4.0,4.0,58.0,55.845,1811.0,3134.0,7.874,32.0,2.01,762.0,1537.5,-0.7121,-3.8948,3.4236,0.922,1.1721,0.2666,1.22,1.1721,1.2,14.0,4.0,14.0,4.0,4.0,39.43,72.63,1211.4,3106.0,5.323,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Fe_Ge_P,0.29680433,26.0,1.83,762.5,1561.9,-1.4423,-4.4232,-0.5256,1.3369,1.7071,0.3822,1.25,0.3822,1.32,8.0,8.0,8.0,4.0,4.0,58.0,55.845,1811.0,3134.0,7.874,32.0,2.01,762.0,1537.5,-0.7121,-3.8948,3.4236,0.922,1.1721,0.2666,1.22,1.1721,1.2,14.0,4.0,14.0,4.0,4.0,39.43,72.63,1211.4,3106.0,5.323,15.0,2.19,1011.8,1907.0,-1.5964,-5.5066,4.1941,0.8336,0.9712,1.4172,1.06,0.9712,1.07,5.0,5.0,15.0,3.0,3.0,24.93,30.973762,863.15,553.15,1.823
Fe_Sn_P,0.14739983,26.0,1.83,762.5,1561.9,-1.4423,-4.4232,-0.5256,1.3369,1.7071,0.3822,1.25,0.3822,1.32,8.0,8.0,8.0,4.0,4.0,58.0,55.845,1811.0,3134.0,7.874,50.0,1.96,708.6,1411.8,-0.8358,-3.6934,2.8969,1.066,1.3554,0.4694,1.41,1.3554,1.39,14.0,4.0,14.0,5.0,4.0,56.34,118.71,505.08,2875.0,7.365,15.0,2.19,1011.8,1907.0,-1.5964,-5.5066,4.1941,0.8336,0.9712,1.4172,1.06,0.9712,1.07,5.0,5.0,15.0,3.0,3.0,24.93,30.973762,863.15,553.15,1.823
Hf_C_As,1.58033381,72.0,1.3,658.5,1440.0,0.7772,-2.6937,-0.4781,1.5366,1.7316,0.8951,1.5,0.8951,1.75,18.0,4.0,4.0,6.0,8.0,109.0,178.49,2506.0,4876.0,13.31,6.0,2.55,1086.5,2352.6,-0.7107,-5.2854,3.7464,0.6418,0.6367,1.1355,0.77,0.6367,0.76,4.0,4.0,14.0,2.0,4.0,11.26,12.011,3773.15,5100.15,1.8,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Hf_C_P,1.10841477,72.0,1.3,658.5,1440.0,0.7772,-2.6937,-0.4781,1.5366,1.7316,0.8951,1.5,0.8951,1.75,18.0,4.0,4.0,6.0,8.0,109.0,178.49,2506.0,4876.0,13.31,6.0,2.55,1086.5,2352.6,-0.7107,-5.2854,3.7464,0.6418,0.6367,1.1355,0.77,0.6367,0.76,4.0,4.0,14.0,2.0,4.0,11.26,12.011,3773.15,5100.15,1.8,15.0,2.19,1011.8,1907.0,-1.5964,-5.5066,4.1941,0.8336,0.9712,1.4172,1.06,0.9712,1.07,5.0,5.0,15.0,3.0,3.0,24.93,30.973762,863.15,553.15,1.823
Hf_Ge_As,0.56608677,72.0,1.3,658.5,1440.0,0.7772,-2.6937,-0.4781,1.5366,1.7316,0.8951,1.5,0.8951,1.75,18.0,4.0,4.0,6.0,8.0,109.0,178.49,2506.0,4876.0,13.31,32.0,2.01,762.0,1537.5,-0.7121,-3.8948,3.4236,0.922,1.1721,0.2666,1.22,1.1721,1.2,14.0,4.0,14.0,4.0,4.0,39.43,72.63,1211.4,3106.0,5.323,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Hf_Si_P,0.23102379,72.0,1.3,658.5,1440.0,0.7772,-2.6937,-0.4781,1.5366,1.7316,0.8951,1.5,0.8951,1.75,18.0,4.0,4.0,6.0,8.0,109.0,178.49,2506.0,4876.0,13.31,14.0,1.9,786.5,1577.1,-0.8063,-4.0809,3.7444,0.9466,1.1405,1.1619,1.11,1.1405,1.11,4.0,4.0,14.0,3.0,4.0,37.31,28.085,1687.0,3538.0,2.329,15.0,2.19,1011.8,1907.0,-1.5964,-5.5066,4.1941,0.8336,0.9712,1.4172,1.06,0.9712,1.07,5.0,5.0,15.0,3.0,3.0,24.93,30.973762,863.15,553.15,1.823
Mn_Ge_As,0.72394396,25.0,1.55,717.3,1509.0,-1.019,-4.4043,1.8306,1.3699,1.2646,0.4082,1.39,0.4082,1.39,7.0,7.0,7.0,4.0,5.0,65.0,54.938045,1519.0,2334.0,7.21,32.0,2.01,762.0,1537.5,-0.7121,-3.8948,3.4236,0.922,1.1721,0.2666,1.22,1.1721,1.2,14.0,4.0,14.0,4.0,4.0,39.43,72.63,1211.4,3106.0,5.323,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Nb_C_As,1.53478009,41.0,1.6,652.1,1380.0,-0.8556,-4.6186,-0.7269,1.5752,1.7332,0.7728,1.37,0.7728,1.64,5.0,5.0,5.0,5.0,7.0,106.0,92.90637,2750.0,5017.0,8.57,6.0,2.55,1086.5,2352.6,-0.7107,-5.2854,3.7464,0.6418,0.6367,1.1355,0.77,0.6367,0.76,4.0,4.0,14.0,2.0,4.0,11.26,12.011,3773.15,5100.15,1.8,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Nb_C_P,1.06070926,41.0,1.6,652.1,1380.0,-0.8556,-4.6186,-0.7269,1.5752,1.7332,0.7728,1.37,0.7728,1.64,5.0,5.0,5.0,5.0,7.0,106.0,92.90637,2750.0,5017.0,8.57,6.0,2.55,1086.5,2352.6,-0.7107,-5.2854,3.7464,0.6418,0.6367,1.1355,0.77,0.6367,0.76,4.0,4.0,14.0,2.0,4.0,11.26,12.011,3773.15,5100.15,1.8,15.0,2.19,1011.8,1907.0,-1.5964,-5.5066,4.1941,0.8336,0.9712,1.4172,1.06,0.9712,1.07,5.0,5.0,15.0,3.0,3.0,24.93,30.973762,863.15,553.15,1.823
Nb_Sn_As,0.35248131,41.0,1.6,652.1,1380.0,-0.8556,-4.6186,-0.7269,1.5752,1.7332,0.7728,1.37,0.7728,1.64,5.0,5.0,5.0,5.0,7.0,106.0,92.90637,2750.0,5017.0,8.57,50.0,1.96,708.6,1411.8,-0.8358,-3.6934,2.8969,1.066,1.3554,0.4694,1.41,1.3554,1.39,14.0,4.0,14.0,5.0,4.0,56.34,118.71,505.08,2875.0,7.365,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Ni_Ge_As,0.58550307,28.0,1.91,737.1,1753.0,-1.2886,-4.3916,0.5082,1.2589,1.57,0.3377,1.21,0.3377,1.24,10.0,10.0,10.0,4.0,2.0,48.0,58.6934,1728.0,3186.0,8.908,32.0,2.01,762.0,1537.5,-0.7121,-3.8948,3.4236,0.922,1.1721,0.2666,1.22,1.1721,1.2,14.0,4.0,14.0,4.0,4.0,39.43,72.63,1211.4,3106.0,5.323,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Os_Ge_P,0.43155317,76.0,2.2,840.0,1600.0,-1.8446,-6.0059,-0.0685,1.3156,1.5096,0.719,1.28,0.719,1.44,22.0,8.0,8.0,6.0,4.0,57.0,190.23,3306.0,5285.0,22.59,32.0,2.01,762.0,1537.5,-0.7121,-3.8948,3.4236,0.922,1.1721,0.2666,1.22,1.1721,1.2,14.0,4.0,14.0,4.0,4.0,39.43,72.63,1211.4,3106.0,5.323,15.0,2.19,1011.8,1907.0,-1.5964,-5.5066,4.1941,0.8336,0.9712,1.4172,1.06,0.9712,1.07,5.0,5.0,15.0,3.0,3.0,24.93,30.973762,863.15,553.15,1.823
Ta_Sn_As,0.48232499,73.0,1.5,761.0,1500.0,0.2096,-3.5963,-0.4436,1.4665,1.6644,0.837,1.38,0.837,1.7,19.0,5.0,5.0,6.0,7.0,88.0,180.94788,3290.0,5731.0,16.69,50.0,1.96,708.6,1411.8,-0.8358,-3.6934,2.8969,1.066,1.3554,0.4694,1.41,1.3554,1.39,14.0,4.0,14.0,5.0,4.0,56.34,118.71,505.08,2875.0,7.365,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Ta_Sn_P,0.07306614,73.0,1.5,761.0,1500.0,0.2096,-3.5963,-0.4436,1.4665,1.6644,0.837,1.38,0.837,1.7,19.0,5.0,5.0,6.0,7.0,88.0,180.94788,3290.0,5731.0,16.69,50.0,1.96,708.6,1411.8,-0.8358,-3.6934,2.8969,1.066,1.3554,0.4694,1.41,1.3554,1.39,14.0,4.0,14.0,5.0,4.0,56.34,118.71,505.08,2875.0,7.365,15.0,2.19,1011.8,1907.0,-1.5964,-5.5066,4.1941,0.8336,0.9712,1.4172,1.06,0.9712,1.07,5.0,5.0,15.0,3.0,3.0,24.93,30.973762,863.15,553.15,1.823
Tc_Sn_N,0.00516768,43.0,1.9,702.0,1470.0,-1.4006,-3.9595,0.4892,1.5154,1.6015,0.6854,1.56,0.6854,1.47,7.0,7.0,7.0,5.0,5.0,77.0,97.99,2430.0,4538.0,11.0,50.0,1.96,708.6,1411.8,-0.8358,-3.6934,2.8969,1.066,1.3554,0.4694,1.41,1.3554,1.39,14.0,4.0,14.0,5.0,4.0,56.34,118.71,505.08,2875.0,7.365,7.0,3.04,1402.3,2856.0,-1.6769,-7.0898,4.1526,0.5361,0.5154,1.214,0.75,0.5154,0.71,5.0,5.0,15.0,2.0,3.0,7.6,14.007,63.15,77.36,0.001251
Ti_Ge_As,0.54559152,22.0,1.54,658.8,1309.8,0.2887,-4.2515,-0.1659,1.5455,1.5379,0.5192,1.36,0.5192,1.6,4.0,4.0,4.0,4.0,8.0,92.0,47.867,1941.0,3560.0,4.506,32.0,2.01,762.0,1537.5,-0.7121,-3.8948,3.4236,0.922,1.1721,0.2666,1.22,1.1721,1.2,14.0,4.0,14.0,4.0,4.0,39.43,72.63,1211.4,3106.0,5.323,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
V_C_As,1.46864457,23.0,1.63,650.9,1414.0,-0.2221,-4.4742,0.1316,1.5,1.4672,0.4753,1.25,0.4753,1.53,5.0,5.0,5.0,4.0,7.0,81.0,50.9415,2183.0,3680.0,6.0,6.0,2.55,1086.5,2352.6,-0.7107,-5.2854,3.7464,0.6418,0.6367,1.1355,0.77,0.6367,0.76,4.0,4.0,14.0,2.0,4.0,11.26,12.011,3773.15,5100.15,1.8,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
V_C_P,1.10922185,23.0,1.63,650.9,1414.0,-0.2221,-4.4742,0.1316,1.5,1.4672,0.4753,1.25,0.4753,1.53,5.0,5.0,5.0,4.0,7.0,81.0,50.9415,2183.0,3680.0,6.0,6.0,2.55,1086.5,2352.6,-0.7107,-5.2854,3.7464,0.6418,0.6367,1.1355,0.77,0.6367,0.76,4.0,4.0,14.0,2.0,4.0,11.26,12.011,3773.15,5100.15,1.8,15.0,2.19,1011.8,1907.0,-1.5964,-5.5066,4.1941,0.8336,0.9712,1.4172,1.06,0.9712,1.07,5.0,5.0,15.0,3.0,3.0,24.93,30.973762,863.15,553.15,1.823
V_Sn_As,0.38722293,23.0,1.63,650.9,1414.0,-0.2221,-4.4742,0.1316,1.5,1.4672,0.4753,1.25,0.4753,1.53,5.0,5.0,5.0,4.0,7.0,81.0,50.9415,2183.0,3680.0,6.0,50.0,1.96,708.6,1411.8,-0.8358,-3.6934,2.8969,1.066,1.3554,0.4694,1.41,1.3554,1.39,14.0,4.0,14.0,5.0,4.0,56.34,118.71,505.08,2875.0,7.365,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Zr_C_As,1.51121111,40.0,1.33,640.1,1270.0,-0.0117,-3.6022,-0.5279,1.6694,1.7575,0.8444,1.48,0.8444,1.75,4.0,4.0,4.0,5.0,8.0,121.0,91.224,2128.0,4650.0,6.52,6.0,2.55,1086.5,2352.6,-0.7107,-5.2854,3.7464,0.6418,0.6367,1.1355,0.77,0.6367,0.76,4.0,4.0,14.0,2.0,4.0,11.26,12.011,3773.15,5100.15,1.8,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Zr_C_P,0.99751821,40.0,1.33,640.1,1270.0,-0.0117,-3.6022,-0.5279,1.6694,1.7575,0.8444,1.48,0.8444,1.75,4.0,4.0,4.0,5.0,8.0,121.0,91.224,2128.0,4650.0,6.52,6.0,2.55,1086.5,2352.6,-0.7107,-5.2854,3.7464,0.6418,0.6367,1.1355,0.77,0.6367,0.76,4.0,4.0,14.0,2.0,4.0,11.26,12.011,3773.15,5100.15,1.8,15.0,2.19,1011.8,1907.0,-1.5964,-5.5066,4.1941,0.8336,0.9712,1.4172,1.06,0.9712,1.07,5.0,5.0,15.0,3.0,3.0,24.93,30.973762,863.15,553.15,1.823
Zr_Si_As,0.60474156,40.0,1.33,640.1,1270.0,-0.0117,-3.6022,-0.5279,1.6694,1.7575,0.8444,1.48,0.8444,1.75,4.0,4.0,4.0,5.0,8.0,121.0,91.224,2128.0,4650.0,6.52,14.0,1.9,786.5,1577.1,-0.8063,-4.0809,3.7444,0.9466,1.1405,1.1619,1.11,1.1405,1.11,4.0,4.0,14.0,3.0,4.0,37.31,28.085,1687.0,3538.0,2.329,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Ta_Ge_As,0.59270561,73.0,1.5,761.0,1500.0,0.2096,-3.5963,-0.4436,1.4665,1.6644,0.837,1.38,0.837,1.7,19.0,5.0,5.0,6.0,7.0,88.0,180.94788,3290.0,5731.0,16.69,32.0,2.01,762.0,1537.5,-0.7121,-3.8948,3.4236,0.922,1.1721,0.2666,1.22,1.1721,1.2,14.0,4.0,14.0,4.0,4.0,39.43,72.63,1211.4,3106.0,5.323,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Ru_Si_As,0.83806595,44.0,2.2,710.2,1620.0,-1.0654,-3.596,1.1132,1.4868,1.548,0.6473,1.26,0.6473,1.46,8.0,8.0,8.0,5.0,4.0,65.0,101.07,2607.0,4423.0,12.45,14.0,1.9,786.5,1577.1,-0.8063,-4.0809,3.7444,0.9466,1.1405,1.1619,1.11,1.1405,1.11,4.0,4.0,14.0,3.0,4.0,37.31,28.085,1687.0,3538.0,2.329,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
Fe_Sn_As,0.55958115,26.0,1.83,762.5,1561.9,-1.4423,-4.4232,-0.5256,1.3369,1.7071,0.3822,1.25,0.3822,1.32,8.0,8.0,8.0,4.0,4.0,58.0,55.845,1811.0,3134.0,7.874,50.0,1.96,708.6,1411.8,-0.8358,-3.6934,2.8969,1.066,1.3554,0.4694,1.41,1.3554,1.39,14.0,4.0,14.0,5.0,4.0,56.34,118.71,505.08,2875.0,7.365,33.0,2.18,947.0,1798.0,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15.0,5.0,15.0,4.0,3.0,29.8,74.921595,1087.15,887.15,5.727
